tier,origin,repo_path_or_url,title,words,theme,proposed_page,first_published,authors,source_pdf,source_linkedin,publishability,why_it_matters
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/02/02/monetising-trust-and-knowledge-for-news-providers.html,Monetising Trust and Knowledge: How News Providers can leverage Personalised Semantic Graphs,3549,monetisation · graphs,/thesis/sell-the-graph/,2025-02-02,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/02/02/monetising-trust-and-knowledge__for-news-providers.pdf,https://www.linkedin.com/posts/diniscruz_monetising-trust-and-knowledge-news-providers-activity-7291618141539889153-b8-8,PUBLISHED - CC0 at source; carries provenance block per 02,Earliest statement of the thesis. Personalised semantic graphs for news providers.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/02/05/the-future-of-news-building-trust-through-fact-provenance.html,The Future of News: Building Trust Through Fact Provenance,3665,trust · provenance,/provenance/,2025-02-05,"Dinis Cruz, Claude 3.5",https://files.diniscruz.ai/github/pdf/2025/02/05/the-future-of-news-building-trust-through-fact-provenance.pdf,https://www.linkedin.com/posts/diniscruz_the-future-of-news-building-trust-through-activity-7292879121225793536-sJbl,PUBLISHED - CC0 at source; carries provenance block per 02,The origin article. WARNING: currently renders a literal {{title}} heading - fix at source before citing as canonical.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/03/24/journalists-challenges-with-digital-content-provenance-and-trust.html,Journalists' Challenges with Digital Content Provenance and Trust,4403,trust · provenance,/newsroom/the-craft/,2025-03-24,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/03/24/journalists-challenges-with-digital-content-provenance-and-trust.pdf,https://www.linkedin.com/posts/diniscruz_journalists-challenges-with-digital-content-activity-7309971769845559296-j2j4,PUBLISHED - CC0 at source; carries provenance block per 02,The only practitioner-register piece in either corpus - written from the journalist's problem outward.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/04/02/the-future-of-news-monetization__embracing-micro-and-nano-payments.html,The Future of News Monetization: Embracing Micro and Nano Payments,10813,monetisation,/economics/micro-and-nano-payments/,2025-04-02,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/04/02/the-future-of-news-monetization__embracing-micro-and-nano-payments.pdf,https://www.linkedin.com/posts/diniscruz_the-future-of-news-monetization-activity-7313197799121039360-8PKH,PUBLISHED - CC0 at source; carries provenance block per 02,Largest single treatment of news monetisation anywhere. 15 months before the x402 rail existed.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/04/21/strengthening-trust-in-news__implementing-identity-graphs-for-authors-and-sources.html,Strengthening Trust in News: Implementing Identity Graphs for Authors and Sources,6940,identity · trust,/network/pki/,2025-04-21,"Dinis Cruz, ChatGPT Deep Research, Claude 3.7",https://files.diniscruz.ai/github/pdf/2025/04/21/strengthening-trust-in-news__implementing-identity-graphs-for-authors-and-sources.pdf,https://www.linkedin.com/posts/diniscruz_strengthening-trust-in-news-activity-7320155565526036482-Kdpt,PUBLISHED - CC0 at source; carries provenance block per 02,Author and source identity as a graph. The pre-written bridge page to pki.sgit.ai and nhi.sgit.ai.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/05/03/project-insightflow__genai-powered-transformation-of-regulatory-and-news-feeds.html,Project InsightFlow: GenAI-Powered Transformation of Regulatory and News Feeds,6082,workflow,/newsroom/,2025-05-03,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/05/03/project-insightflow__genai-powered-transformation-of-regulatory-and-news-feeds.pdf,https://www.linkedin.com/posts/diniscruz_insightflow-genai-transformation-of-regulatory-activity-7324404009560137728-LC0r,PUBLISHED - CC0 at source; carries provenance block per 02,Regulatory and news feed transformation - the workflow ancestor of the 2026 newsroom briefs.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/06/06/personalised-briefing-for-dan-raywood-on-the-future-of-news.html,Personalised Briefing for Dan Raywood on the Future of News,4528,thesis · briefing,/library/,2025-06-06,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/06/06/personalised-briefing-for-dan-raywood-on-the-future-of-news.pdf,https://www.linkedin.com/posts/diniscruz_personalised-briefing-for-dan-raywood-on-activity-7336773283159203842-RyBb,PUBLISHED - CC0 at source; carries provenance block per 02,The thesis explained to a named journalist. Confirm consent before republishing.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/06/15/personal-content-rights-protecting-individuals-in-the-age-of-deepfakes-and-ai-cloning.html,Personal Content Rights: Protecting Individuals in the Age of Deepfakes and AI Cloning,9720,rights,/rights/personal-content-rights/,2025-06-15,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/06/15/personal-content-rights-protecting-individuals-in-the-age-of-deepfakes-and-ai-cloning.pdf,https://www.linkedin.com/posts/diniscruz_personal-content-rights-protecting-individuals-activity-7340013978602881024-NBQM,PUBLISHED - CC0 at source; carries provenance block per 02,Deepfakes and AI cloning. The only treatment of INDIVIDUAL content rights.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/07/04/from-free-scraping-to-fair-compensation-cloudflares-genai-crawler-charges-and-the-future-of-news-monetization.html,From Free Scraping to Fair Compensation: Cloudflare’s GenAI Crawler Charges and the Future of News Monetization,5660,monetisation · rights,/rights/scraping-and-compensation/,2025-07-04,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/07/04/from-free-scraping-to-fair-compensation-cloudflares-genai-crawler-charges-and-the-future-of-news-monetization.pdf,https://www.linkedin.com/posts/diniscruz_from-free-scraping-to-fair-compensation-genai-activity-7346898869386981378--qiS,PUBLISHED - CC0 at source; carries provenance block per 02,Cloudflare crawler charges - dates the thread against a real market event.
0,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/10/02/time-as-a-calibrator-of-credibility-and-trust-in-information-systems.html,Time as a Calibrator of Credibility and Trust in Information Systems,13486,trust · time,/corrections/,2025-10-02,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/10/02/time-as-a-calibrator-of-credibility-and-trust-in-information-systems.pdf,,PUBLISHED - CC0 at source; carries provenance block per 02,Longest and newest piece. Statements as evolving entities calibrated by time and evidence.
